06:07:03 - root - INFO - Interface web démarrée sur http://127.0.0.1:5000
06:07:03 - root - INFO - Démarrage de la boucle de trading v9.0 (SMC Stable)...
06:07:03 - MT5Connector - INFO - Attempting to connect to MetaTrader 5...
06:07:03 - MT5Connector - INFO - Successfully connected to MT5. Version: (500, 5327, '3 Oct 2025')
06:07:03 - MT5Executor - INFO - Position #9811561 modifiée avec succès.
06:07:03 - MT5Executor - INFO - Position #9811561 modifiée avec succès.
06:07:03 - root - INFO - --- Analyse de XAUUSD ---
06:07:03 - root - INFO - --- Analyse de EURUSD ---
06:07:04 - root - INFO - --- Analyse de GBPUSD ---
06:07:04 - root - INFO - --- Analyse de BTCUSD ---
06:07:04 - root - INFO - --- Analyse de ETHUSD ---
06:07:04 - root - INFO - Analyse suspendue pour ETHUSD : un trade géré par ce bot est déjà en cours.
06:07:24 - root - INFO - --- Analyse de XAUUSD ---
06:07:24 - root - INFO - --- Analyse de EURUSD ---
06:07:24 - root - INFO - --- Analyse de GBPUSD ---
06:07:24 - root - INFO - --- Analyse de BTCUSD ---
06:07:24 - root - INFO - --- Analyse de ETHUSD ---
06:07:44 - root - INFO - --- Analyse de XAUUSD ---
06:07:44 - root - INFO - --- Analyse de EURUSD ---
06:07:44 - root - INFO - --- Analyse de GBPUSD ---
06:07:44 - root - INFO - --- Analyse de BTCUSD ---
06:07:44 - root - INFO - --- Analyse de ETHUSD ---
06:08:04 - root - INFO - --- Analyse de XAUUSD ---
06:08:04 - root - INFO - --- Analyse de EURUSD ---
06:08:04 - root - INFO - --- Analyse de GBPUSD ---
06:08:04 - root - INFO - --- Analyse de BTCUSD ---
06:08:04 - root - INFO - --- Analyse de ETHUSD ---
06:08:24 - root - INFO - --- Analyse de XAUUSD ---
06:08:24 - root - INFO - --- Analyse de EURUSD ---
06:08:24 - root - INFO - --- Analyse de GBPUSD ---
06:08:24 - root - INFO - --- Analyse de BTCUSD ---
06:08:24 - root - INFO - --- Analyse de ETHUSD ---
06:08:44 - root - INFO - --- Analyse de XAUUSD ---
06:08:44 - root - INFO - --- Analyse de EURUSD ---
06:08:44 - root - INFO - --- Analyse de GBPUSD ---
06:08:44 - root - INFO - --- Analyse de BTCUSD ---
06:08:44 - root - INFO - --- Analyse de ETHUSD ---
06:09:04 - root - INFO - --- Analyse de XAUUSD ---
06:09:04 - root - INFO - --- Analyse de EURUSD ---
06:09:04 - root - INFO - --- Analyse de GBPUSD ---
06:09:04 - root - INFO - --- Analyse de BTCUSD ---
06:09:04 - root - INFO - --- Analyse de ETHUSD ---
06:09:24 - root - INFO - --- Analyse de XAUUSD ---
06:09:24 - root - INFO - --- Analyse de EURUSD ---
06:09:24 - root - INFO - --- Analyse de GBPUSD ---
06:09:24 - root - INFO - --- Analyse de BTCUSD ---
06:09:24 - root - INFO - --- Analyse de ETHUSD ---
06:09:44 - root - INFO - --- Analyse de XAUUSD ---
06:09:44 - root - INFO - --- Analyse de EURUSD ---
06:09:44 - root - INFO - --- Analyse de GBPUSD ---
06:09:44 - root - INFO - --- Analyse de BTCUSD ---
06:09:44 - root - INFO - --- Analyse de ETHUSD ---
06:10:04 - root - INFO - --- Analyse de XAUUSD ---
06:10:04 - root - INFO - --- Analyse de EURUSD ---
06:10:04 - root - INFO - --- Analyse de GBPUSD ---
06:10:04 - root - INFO - --- Analyse de BTCUSD ---
06:10:04 - root - INFO - --- Analyse de ETHUSD ---
06:10:24 - root - INFO - --- Analyse de XAUUSD ---
06:10:24 - root - INFO - --- Analyse de EURUSD ---
06:10:24 - root - INFO - --- Analyse de GBPUSD ---
06:10:24 - root - INFO - --- Analyse de BTCUSD ---
06:10:24 - root - INFO - --- Analyse de ETHUSD ---
06:10:44 - root - INFO - --- Analyse de XAUUSD ---
